condition,seed,quantization,subset,field_order,role,eyes,patients,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb
ft_ptq_int8,2026,FT_PTQ_INT8,setC,_1=disc,supplementary,200,100,0.7289902952715259,0.575,0.438,0.427969708839274,0.438,0.4045774162027299,0.581421856639248,0.575,0.5607245862584587,0.61,0.155,0.7567567567567568,0.84,0.7962085308056872,100,0.73,0.13333333333333333,0.1111111111111111,0.12121212121212122,18,0.9285714285714286,0.3888888888888889,0.3888888888888889,0.3888888888888889,36,0.8658536585365854,0.6,0.25,0.35294117647058826,36,0.9634146341463414,0.2608695652173913,0.6,0.36363636363636365,10,0.9105263157894737,0.0,0.10858950763940811,0.0508232606947422,0.32971861958503723,0.29062166810035706,0.19687283039093018,0.13435423374176025
qat_int8,2026,QAT_INT8,setC,_1=disc,supplementary,200,100,0.7129073700217614,0.575,0.4111111111111111,0.4220442094778377,0.4111111111111111,0.3933633408844676,0.5840542466383174,0.575,0.5630799139827309,0.615,0.145,0.7522123893805309,0.85,0.7981220657276995,100,0.72,0.14285714285714285,0.16666666666666666,0.15384615384615385,18,0.9010989010989011,0.5333333333333333,0.4444444444444444,0.48484848484848486,36,0.9146341463414634,0.5,0.19444444444444445,0.28,36,0.9573170731707317,0.18181818181818182,0.4,0.25,10,0.9052631578947369,0.0,0.1115497574210167,0.0426594015955925,0.3303540050983429,0.29894784092903137,0.20090538263320923,0.13669590651988983
teacher,-,FP32,setB,_1=macula,supplementary,200,100,0.7434515720912798,0.54,0.43695446394449833,0.4043717393717393,0.43695446394449833,0.3698883697242111,0.5136930569430569,0.54,0.495509016291506,0.665,0.195,0.6752136752136753,0.9080459770114943,0.7745098039215687,87,0.6637168141592921,0.2,0.043478260869565216,0.07142857142857142,23,0.9774011299435028,0.4583333333333333,0.2391304347826087,0.3142857142857143,46,0.9155844155844156,0.47619047619047616,0.29411764705882354,0.36363636363636365,34,0.9337349397590361,0.21212121212121213,0.7,0.32558139534883723,10,0.8631578947368421,0.0,0.10862933099269867,0.05738330564578063,0.28785231709480286,0.24391302466392517,0.182662695646286,0.15855766832828522
best_fp32,8888,FP32,setB,_1=macula,supplementary,200,100,0.6879916445220058,0.51,0.42359702501690333,0.39220345830639947,0.42359702501690333,0.398344537615507,0.5055406835811247,0.51,0.504625584958548,0.7,0.18,0.7032967032967034,0.735632183908046,0.7191011235955056,87,0.7610619469026548,0.17647058823529413,0.13043478260869565,0.15,23,0.9209039548022598,0.425,0.3695652173913043,0.3953488372093023,46,0.8506493506493507,0.40625,0.38235294117647056,0.3939393939393939,34,0.8855421686746988,0.25,0.5,0.3333333333333333,10,0.9210526315789473,0.0,0.12330514937639236,0.061097931324038665,0.3177720904350281,0.2978706657886505,0.22463791072368622,0.15571898221969604
best_csd_fp32,8888,FP32,setB,_1=macula,supplementary,200,100,0.6614140789947989,0.515,0.40336596407678516,0.38856060606060605,0.40336596407678516,0.3729038297330482,0.4968276515151515,0.515,0.49013485404026175,0.725,0.19,0.6636363636363637,0.8390804597701149,0.7411167512690355,87,0.672566371681416,0.1875,0.13043478260869565,0.15384615384615385,23,0.9265536723163842,0.43333333333333335,0.2826086956521739,0.34210526315789475,46,0.8896103896103896,0.45,0.2647058823529412,0.3333333333333333,34,0.9337349397590361,0.20833333333333334,0.5,0.29411764705882354,10,0.9,0.0,0.12733562290668488,0.059694443233311176,0.3480643332004547,0.32526183128356934,0.21634729206562042,0.15202847123146057
ptq_int8,42,PTQ_INT8,setB,_1=macula,supplementary,200,100,0.6339239187076602,0.535,0.43077696445894703,0.4121188031721729,0.43077696445894703,0.3951476212311258,0.5067397472978044,0.535,0.5018676129742353,0.735,0.21,0.6521739130434783,0.8620689655172413,0.7425742574257426,87,0.6460176991150443,0.23076923076923078,0.13043478260869565,0.16666666666666666,23,0.943502824858757,0.4838709677419355,0.32608695652173914,0.38961038961038963,46,0.8961038961038961,0.42105263157894735,0.23529411764705882,0.3018867924528302,34,0.9337349397590361,0.2727272727272727,0.6,0.375,10,0.9157894736842105,0.0,0.1272992044687271,0.0259088827855885,0.34333062171936035,0.31454887986183167,0.2180967479944229,0.1380547732114792
ft_ptq_int8,2026,FT_PTQ_INT8,setB,_1=macula,supplementary,200,100,0.6384489060761773,0.5,0.3984789957962195,0.39238185482087923,0.3984789957962195,0.38325708994612506,0.4900060328109109,0.5,0.4888303235126664,0.755,0.21,0.6565656565656566,0.7471264367816092,0.6989247311827957,87,0.6991150442477876,0.3076923076923077,0.17391304347826086,0.2222222222222222,23,0.9491525423728814,0.3902439024390244,0.34782608695652173,0.367816091954023,46,0.8376623376623377,0.4074074074074074,0.3235294117647059,0.36065573770491804,34,0.9036144578313253,0.2,0.4,0.26666666666666666,10,0.9157894736842105,0.0,0.12769261002540588,0.04697945530992002,0.34445875883102417,0.3292372524738312,0.23389258980751038,0.14691217243671417
qat_int8,2026,QAT_INT8,setB,_1=macula,supplementary,200,100,0.6577408087977445,0.52,0.4217979245671282,0.41436071238702815,0.4217979245671282,0.4084694158887707,0.511442384370016,0.52,0.5093877072748041,0.7,0.185,0.6767676767676768,0.7701149425287356,0.7204301075268817,87,0.7168141592920354,0.10526315789473684,0.08695652173913043,0.09523809523809523,23,0.903954802259887,0.38636363636363635,0.3695652173913043,0.37777777777777777,46,0.8246753246753247,0.5909090909090909,0.38235294117647056,0.4642857142857143,34,0.9457831325301205,0.3125,0.5,0.38461538461538464,10,0.9421052631578948,0.0,0.12091752886772156,0.04305022023618221,0.3481594920158386,0.3335624933242798,0.222349151968956,0.1320219486951828
teacher,-,FP32,setB,_1=disc,supplementary,200,100,0.7476288853413466,0.535,0.45184231413704906,0.4312641950412848,0.45184231413704906,0.3742783986399182,0.5136170331216772,0.535,0.484934318472949,0.665,0.195,0.6554621848739496,0.896551724137931,0.7572815533980582,87,0.6371681415929203,0.3333333333333333,0.043478260869565216,0.07692307692307693,23,0.9887005649717514,0.34615384615384615,0.1956521739130435,0.25,46,0.8896103896103896,0.5789473684210527,0.3235294117647059,0.41509433962264153,34,0.9518072289156626,0.24242424242424243,0.8,0.37209302325581395,10,0.868421052631579,0.0,0.1152402013540268,0.061736901099793615,0.29678431153297424,0.23597747087478638,0.17398938536643982,0.15904363989830017
best_fp32,8888,FP32,setB,_1=disc,supplementary,200,100,0.6935287415032808,0.49,0.3862057206690772,0.36429454270533734,0.3862057206690772,0.36565687273228775,0.48914581753412334,0.49,0.48611616545605385,0.71,0.175,0.6956521739130435,0.735632183908046,0.7150837988826816,87,0.7522123893805309,0.1111111111111111,0.08695652173913043,0.0975609756097561,23,0.9096045197740112,0.38461538461538464,0.32608695652173914,0.35294117647058826,46,0.8441558441558441,0.4482758620689655,0.38235294117647056,0.4126984126984127,34,0.9036144578313253,0.18181818181818182,0.4,0.25,10,0.9052631578947369,0.0,0.12139874696731567,0.048556173047982154,0.31804168224334717,0.2952313721179962,0.21782489120960236,0.15323469042778015
