condition,seed,quantization,view_mode,decision_threshold,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,ExactAccuracy,AdjacentErrorRate,AdjacentAccuracy,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb,QWK_dual,QWK_aux_macula,QWK_aux_disc,DualViewGain_G_aux,ParamCount,CheckpointSize_MB,Latency_median_ms,Latency_mean_ms,Latency_sd_ms,Latency_p95_ms,Latency_p99_ms,Latency_block_IQR_ms,Throughput_pairs_per_s,Throughput_images_per_s,bench_runs,bench_repeats,ShiftL1,ShiftMAE,CosAgree,BenefitCorr,BenefitCorrSpearman,CF_ShiftL1,CF_ShiftMAE,CF_CosAgree,CF_BenefitCorr,CF_BenefitCorrSpearman,ModelLoadRSSDelta_MB,InferenceRSSDelta_MB,PeakRSS_during_inference_MB,RSS_scope,DualViewGain_G_independent
disc_only,8888,FP32,disc_only,0.5,0.540772301280685,0.4690909090909091,0.33223155442180696,0.3203731731419358,0.33223155442180696,0.3201024212297577,0.452914722194641,0.4690909090909091,0.45584369895029864,0.8127272727272727,0.24181818181818182,0.4690909090909091,0.28909090909090907,0.7581818181818182,0.6372549019607843,0.7358490566037735,0.6830122591943958,265,0.6105263157894737,0.034482758620689655,0.04,0.037037037037037035,50,0.888,0.3557692307692308,0.2534246575342466,0.296,146,0.8341584158415841,0.3076923076923077,0.2318840579710145,0.2644628099173554,69,0.9251559251559252,0.26666666666666666,0.4,0.32,20,0.9584905660377359,0.0,0.1355406939983368,0.02863898028450256,0.3857141137123108,0.36224985122680664,0.2196492701768875,0.10767272114753723,,,,,328588,1.2940635681152344,35.287343501295254,36.20913863560709,3.30609500589066,40.96972655088393,43.26217737900151,0.4575675002342905,28.338772510979584,56.67754502195917,500,5,,,,,,,,,,,,,,,
dual_no_distill,42,FP32,dual,0.4,0.6269085166257126,0.5,0.3897453785384382,0.3456244679507049,0.3897453785384382,0.33401440588957876,0.49502101726888026,0.5,0.4789799696437926,0.7709090909090909,0.23636363636363636,0.5,0.2636363636363636,0.7636363636363637,0.6572327044025157,0.7886792452830189,0.7169811320754716,265,0.6175438596491228,0.0975609756097561,0.08,0.08791208791208792,50,0.926,0.4507042253521127,0.2191780821917808,0.29493087557603687,146,0.9034653465346535,0.34615384615384615,0.2608695652173913,0.2975206611570248,69,0.9293139293139293,0.17647058823529413,0.6,0.2727272727272727,20,0.8943396226415095,0.0,0.12781041860580444,0.04298817226663232,0.3493056893348694,0.3182094097137451,0.16910472512245178,0.12007173150777817,0.6329614543521129,0.577309347754111,0.5886555868361489,0.04430586751596399,328588,1.2944412231445312,32.62120299950766,33.272097838809714,1.7037543712601655,36.93872234916853,38.444458740705116,0.1707045003058738,30.654908711217445,61.30981742243489,500,5,0.3694263994693756,0.0923565998673439,0.40733927488327026,0.23528102040290833,0.43830380205614505,0.36348628997802734,0.09087157249450684,0.48471686244010925,0.26943498849868774,0.3874823447951293,,,,,0.07578223116335614
dual_no_distill,123,FP32,dual,0.4,0.5855028111502208,0.4490909090909091,0.37860683770288545,0.319327938643528,0.37860683770288545,0.32335757575757573,0.46580907052389936,0.4490909090909091,0.4508173002754821,0.8581818181818182,0.27090909090909093,0.4490909090909091,0.28,0.7290909090909091,0.6615969581749049,0.6566037735849056,0.6590909090909091,265,0.6877192982456141,0.1,0.1,0.1,50,0.91,0.34615384615384615,0.2465753424657534,0.288,146,0.8316831683168316,0.31746031746031744,0.2898550724637681,0.30303030303030304,69,0.9106029106029107,0.17142857142857143,0.6,0.26666666666666666,20,0.8905660377358491,0.0,0.12676134705543518,0.05299200586297296,0.36227238178253174,0.33569034934043884,0.19428561627864838,0.12449493259191513,0.6230627742059072,0.5668574222176663,0.6046636998826675,0.018399074323239617,328588,1.2945356369018555,32.71703799964598,33.13327832041832,1.5115258199084687,36.44903574995624,37.588201750277214,0.30902199978299905,30.56511411610124,61.13022823220248,500,5,0.3907904326915741,0.09769760817289352,0.23217923939228058,0.0503724031150341,0.2506502290465874,0.338275671005249,0.08456891775131226,0.23926100134849548,0.16686281561851501,0.1917847241568642,,,,,0.027307355186147464
dual_no_distill,2026,FP32,dual,0.4,0.5948520679039684,0.4763636363636364,0.40689035477092156,0.3389488888328394,0.40689035477092156,0.3520429114324583,0.48108912117490243,0.4763636363636364,0.47150007195735955,0.8127272727272727,0.24909090909090909,0.4763636363636364,0.27454545454545454,0.7509090909090909,0.6765799256505576,0.6867924528301886,0.6816479400749064,265,0.6947368421052632,0.0851063829787234,0.08,0.08247422680412371,50,0.914,0.35789473684210527,0.2328767123287671,0.2821576763485477,146,0.849009900990099,0.35294117647058826,0.43478260869565216,0.38961038961038963,69,0.8856548856548857,0.2222222222222222,0.6,0.32432432432432434,20,0.9207547169811321,0.0,0.12987953424453735,0.05544657281345941,0.36150985956192017,0.33832770586013794,0.19537366926670074,0.11819984763860703,0.603136374884067,0.5566232771077777,0.5765744150384411,0.026561959845625926,328588,1.2946300506591797,32.748277499194955,33.31866594803141,1.628498258944243,36.88236305006285,38.45094295889792,0.23614800102222944,30.53595719727802,61.07191439455604,500,5,0.38564202189445496,0.09641050547361374,0.24825575947761536,0.23434114456176758,0.2528043578806722,0.32993680238723755,0.08248420059680939,0.2735397517681122,0.22886161506175995,0.2384775907598793,,,,,0.040905814980156
dual_no_distill,3407,FP32,dual,0.4,0.5989654205135264,0.48545454545454547,0.4108326085083588,0.34371383302935643,0.4108326085083588,0.34239181840744204,0.4893826096653002,0.48545454545454547,0.4731669669107176,0.8127272727272727,0.2509090909090909,0.48545454545454547,0.2636363636363636,0.7490909090909091,0.6666666666666666,0.7396226415094339,0.7012522361359571,265,0.656140350877193,0.1276595744680851,0.12,0.12371134020618557,50,0.918,0.4155844155844156,0.2191780821917808,0.28699551569506726,146,0.8886138613861386,0.3114754098360656,0.2753623188405797,0.2923076923076923,69,0.9126819126819127,0.19718309859154928,0.7,0.3076923076923077,20,0.8924528301886793,0.0,0.1290675699710846,0.04897820705801925,0.35896989703178406,0.3345678448677063,0.18766586482524872,0.1288621425628662,0.615164492510509,0.5505710334690403,0.5847886299935351,0.030375862516973884,328588,1.2946300506591797,32.5801285007401,33.14700807919871,1.621928129029436,36.57204369947066,37.775695409800385,0.0978284997472656,30.693556042214002,61.387112084428004,500,5,0.3666456639766693,0.09166141599416733,0.4531707167625427,0.28355661034584045,0.45923425141300245,0.37956538796424866,0.09489134699106216,0.20677460730075836,0.12521992623806,0.1228799373942333,,,,,0.051975927519225196
dual_no_distill,8888,FP32,dual,0.4,0.6150139732099836,0.48545454545454547,0.3910484228033308,0.3189529896152413,0.3910484228033308,0.32572942943988786,0.4671244039925557,0.48545454545454547,0.46494318056325257,0.7981818181818182,0.24545454545454545,0.48545454545454547,0.2690909090909091,0.7545454545454545,0.6688741721854304,0.7622641509433963,0.7125220458553791,265,0.6491228070175439,0.06060606060606061,0.04,0.04819277108433735,50,0.938,0.34523809523809523,0.19863013698630136,0.25217391304347825,146,0.8638613861386139,0.3230769230769231,0.30434782608695654,0.31343283582089554,69,0.9085239085239085,0.19696969696969696,0.65,0.3023255813953488,20,0.9,0.0,0.13044454157352448,0.049874216744845566,0.3466963768005371,0.31336575746536255,0.176383376121521,0.11943070590496063,0.6232078894301157,0.5900863469061184,0.5678124227232876,0.03312154252399735,328588,1.2946300506591797,32.510535500478,32.9196862823941,1.4210095112335235,36.009749000277225,37.324331420077215,0.15608650028298143,30.759259563266717,61.518519126533434,500,5,0.3668259382247925,0.09170648455619812,0.4137965142726898,0.2928626239299774,0.39716618747650256,0.3580825924873352,0.0895206481218338,0.5830163955688477,0.29035770893096924,0.422031495821624,,,,,0.07424167192929865
dual_logitkd,42,FP32,dual,0.5,0.5461056804360557,0.44181818181818183,0.37518308666809014,0.3093985673543033,0.37518308666809014,0.3167897103357581,0.44555197639796906,0.44181818181818183,0.4349868273511664,0.88,0.2636363636363636,0.44181818181818183,0.29454545454545455,0.7363636363636363,0.6557971014492754,0.6830188679245283,0.6691312384473198,265,0.6666666666666666,0.125,0.16,0.14035087719298245,50,0.888,0.27710843373493976,0.15753424657534246,0.20087336244541484,146,0.8514851485148515,0.30158730158730157,0.2753623188405797,0.2878787878787879,69,0.9085239085239085,0.1875,0.6,0.2857142857142857,20,0.9018867924528302,0.0,0.14812222123146057,0.09422357220710678,0.38977405428886414,0.3787250816822052,0.245070219039917,0.1465696096420288,0.5461056804360557,0.483553475185325,0.4646951105215348,0.06255220525073069,328588,1.2941579818725586,32.25931050019426,32.834868307181026,1.7156000772882682,36.354742849107424,38.327978888974,0.46728700181120075,30.998802655561352,61.997605311122705,500,5,0.39309433102607727,0.09827358275651932,0.3155513107776642,0.07774011045694351,0.3280520176024624,0.351532906293869,0.08788322657346725,0.6649863123893738,0.3142796754837036,0.4365442049545468,,,,,-0.005020605026300751
dual_logitkd,123,FP32,dual,0.5,0.5930174242667974,0.5145454545454545,0.38659351740516407,0.35357391146864836,0.38659351740516407,0.34878677143907677,0.48403557314562107,0.5145454545454545,0.47956038640510396,0.7745454545454545,0.25636363636363635,0.5145454545454545,0.2290909090909091,0.7436363636363637,0.6345029239766082,0.8188679245283019,0.71499176276771,265,0.5614035087719298,0.08571428571428572,0.06,0.07058823529411765,50,0.936,0.4307692307692308,0.1917808219178082,0.26540284360189575,146,0.9084158415841584,0.3787878787878788,0.36231884057971014,0.37037037037037035,69,0.9147609147609148,0.23809523809523808,0.5,0.3225806451612903,20,0.939622641509434,0.0,0.1322660744190216,0.050977006999098434,0.3640640079975128,0.3344939947128296,0.18937426805496216,0.11543930321931839,0.5930174242667974,0.5522068742831447,0.5620508383643678,0.030966585902429622,328588,1.2942523956298828,32.01662099945679,32.34574523558331,1.384173794996613,35.2219781997519,36.69903840000187,0.10218149964202894,31.233776981554875,62.46755396310975,500,5,0.39021337032318115,0.09755334258079529,0.24783580005168915,0.18017567694187164,0.27793451458442087,0.3088908791542053,0.07722271978855133,0.5573067665100098,0.22143903374671936,0.3389039482925413,,,,,0.03482196830272399
dual_logitkd,2026,FP32,dual,0.5,0.623463530018419,0.5454545454545454,0.4082974367042377,0.38960583066434157,0.4082974367042377,0.3781585692737316,0.4972654800692086,0.5454545454545454,0.49703870594590194,0.7036363636363636,0.22,0.5454545454545454,0.23454545454545456,0.78,0.6321525885558583,0.8754716981132076,0.7341772151898734,265,0.5263157894736842,0.10344827586206896,0.06,0.0759493670886076,50,0.948,0.4098360655737705,0.17123287671232876,0.24154589371980675,146,0.9108910891089109,0.5084745762711864,0.43478260869565216,0.46875,69,0.9397089397089398,0.29411764705882354,0.5,0.37037037037037035,20,0.9547169811320755,0.0,0.12362796068191528,0.03764765748923475,0.35930508375167847,0.3187447190284729,0.15817642211914062,0.10108569264411926,0.623463530018419,0.5673401774232218,0.5783650568926643,0.04509847312575477,328588,1.294346809387207,33.06035449986666,33.59346687999132,1.6907034064836775,36.91313425097178,38.1527318796725,0.10038300115411403,30.24770953390815,60.4954190678163,500,5,0.3443678915500641,0.08609197288751602,0.4448802173137665,0.389559268951416,0.45342987459913464,0.38047048449516296,0.09511762112379074,-0.30510956048965454,-0.1636500507593155,-0.19979790166098219,,,,,0.06951727709460664
dual_logitkd,3407,FP32,dual,0.5,0.6035528156875469,0.5127272727272727,0.42294877528927444,0.354571119510063,0.42294877528927444,0.3631526933349999,0.47635292987309485,0.5127272727272727,0.4810076513061947,0.7781818181818182,0.2636363636363636,0.5127272727272727,0.22363636363636363,0.7363636363636363,0.6441717791411042,0.7924528301886793,0.7106598984771574,265,0.5929824561403508,0.06896551724137931,0.04,0.05063291139240506,50,0.946,0.36585365853658536,0.2054794520547945,0.2631578947368421,146,0.8712871287128713,0.41935483870967744,0.37681159420289856,0.3969465648854962,69,0.9251559251559252,0.27450980392156865,0.7,0.39436619718309857,20,0.930188679245283,0.0,0.133872389793396,0.055251203917644244,0.35333600640296936,0.332040011882782,0.1817699372768402,0.12426841259002686,0.6035528156875469,0.5468786386203037,0.5753383207604261,0.028214494927120803,328588,1.294346809387207,32.46657599993341,33.08366381601881,2.6985626799871163,36.363921900647256,38.05382782991727,0.10249499973724596,30.80090737015357,61.60181474030714,500,5,0.38567838072776794,0.09641959518194199,0.33360880613327026,0.1917174607515335,0.2913659038392013,0.3974928855895996,0.0993732213973999,0.06143704429268837,0.08533566445112228,0.07050040435896257,,,,,0.05656332269324571
dual_logitkd,8888,FP32,dual,0.5,0.6047862034456476,0.5163636363636364,0.41756816913331907,0.379305552502896,0.41756816913331907,0.38748623729964565,0.4968465210448133,0.5163636363636364,0.49928826753434496,0.7509090909090909,0.24,0.5163636363636364,0.24363636363636362,0.76,0.6470588235294118,0.7471698113207547,0.6935201401050788,265,0.6210526315789474,0.09523809523809523,0.08,0.08695652173913043,50,0.924,0.3978494623655914,0.2534246575342466,0.30962343096234307,146,0.8613861386138614,0.4861111111111111,0.5072463768115942,0.49645390070921985,69,0.9230769230769231,0.2702702702702703,0.5,0.3508771929824561,20,0.9490566037735849,0.0,0.12977218627929688,0.05320163050158458,0.3780967593193054,0.3561145067214966,0.2047571986913681,0.11755084246397018,0.6047862034456476,0.5410014126022776,0.5668286535927679,0.03795754985287969,328588,1.294346809387207,32.68088200093189,33.16928639320249,1.4730999639779045,36.35244460083413,37.575510360802575,0.3362579991517123,30.59892936706804,61.19785873413608,500,5,0.4068862497806549,0.10172156244516373,0.08706985414028168,0.05836222693324089,0.09670517318013673,0.2850075960159302,0.07125189900398254,0.6397666335105896,0.4149567782878876,0.4517884206379045,,,,,0.06401390216496261
dual_featkd,42,FP32,dual,0.5,0.6313627167450693,0.5309090909090909,0.4091175564970165,0.35565523476141697,0.4091175564970165,0.3496506179045016,0.4980051141937992,0.5309090909090909,0.49291765693109824,0.7418181818181818,0.23454545454545456,0.5309090909090909,0.23454545454545456,0.7654545454545455,0.6726190476190477,0.8528301886792453,0.7520798668885191,265,0.6140350877192983,0.13043478260869565,0.06,0.0821917808219178,50,0.96,0.4153846153846154,0.18493150684931506,0.2559241706161137,146,0.905940594059406,0.35294117647058826,0.34782608695652173,0.35036496350364965,69,0.9085239085239085,0.20689655172413793,0.6,0.3076923076923077,20,0.9132075471698113,0.0,0.12899288535118103,0.05013112385587936,0.3454910218715668,0.3190203309059143,0.1963363140821457,0.13447615504264832,0.6313627167450693,0.5743648680646596,0.6207811907470611,0.010581525998008212,328588,1.2940635681152344,32.70489299939072,33.07404979879429,1.4133443924070528,36.05801884968969,37.38920593012152,0.10098850088979816,30.576464506966268,61.152929013932535,500,5,0.3804157078266144,0.0951039269566536,0.3413107395172119,0.19857367873191833,0.38481474769713736,0.2697143256664276,0.0674285814166069,0.6052879691123962,0.348359078168869,0.43854578632716745,,,,,0.08023643128271285
