RQ,role,comparison,metric,cluster_level,observed_diff,bootstrap_mean,ci_low,ci_high,excludes_zero,n_seed_pairs,p_perm,n_permutations,p_holm,significant_holm
RQ2,primary,ptq_int8_vs_best_fp32,Accuracy,record_eye(DRTiD),-0.013090909090909075,-0.013085781818181817,-0.032727272727272716,0.005827272727272641,False,5,,,,
RQ2,primary,ptq_int8_vs_best_fp32,MacroF1,record_eye(DRTiD),-0.0019002985246962644,-0.0017683191829332492,-0.025125719879332306,0.02162221846296232,False,5,,,,
RQ2,primary,ptq_int8_vs_best_fp32,MAE,record_eye(DRTiD),0.015636363636363625,0.015652799999999998,-0.011636363636363622,0.04400000000000002,False,5,,,,
RQ2,primary,ptq_int8_vs_best_fp32,SevereErrorRate,record_eye(DRTiD),-0.0018181818181818132,-0.0018200727272727273,-0.01636363636363634,0.012363636363636372,False,5,,,,
RQ2,primary,qat_int8_vs_best_fp32,QWK,record_eye(DRTiD),-0.029273479701359562,-0.029458049384790484,-0.06829154089312858,0.004218733863377941,False,5,0.000999900009999,10000.0,0.0029997000299970002,True
RQ2,primary,qat_int8_vs_best_fp32,Accuracy,record_eye(DRTiD),-0.0018181818181818299,-0.0018715636363636364,-0.026181818181818185,0.025090909090909063,False,5,,,,
RQ2,primary,qat_int8_vs_best_fp32,MacroF1,record_eye(DRTiD),-0.007445992537537571,-0.007587667586433598,-0.041425108576325226,0.027204095270543568,False,5,,,,
RQ2,primary,qat_int8_vs_best_fp32,MAE,record_eye(DRTiD),0.016363636363636337,0.01652752727272727,-0.01890909090909092,0.050909090909090925,False,5,,,,
RQ2,primary,qat_int8_vs_best_fp32,SevereErrorRate,record_eye(DRTiD),0.00799999999999998,0.008108581818181818,-0.010909090909090901,0.0290909090909091,False,5,,,,
RQ2,primary,qat_int8_vs_ptq_int8,QWK,record_eye(DRTiD),-0.02002150034602306,-0.020110973590566142,-0.056673723608856356,0.01095622895582609,False,5,0.0648935106489351,10000.0,0.1297870212978702,False
RQ2,primary,qat_int8_vs_ptq_int8,Accuracy,record_eye(DRTiD),0.011272727272727245,0.011214218181818182,-0.014909090909090905,0.03963636363636366,False,5,,,,
RQ2,primary,qat_int8_vs_ptq_int8,MacroF1,record_eye(DRTiD),-0.0055456940128413065,-0.00581934840350035,-0.043424138117304646,0.030928528870540203,False,5,,,,
RQ2,primary,qat_int8_vs_ptq_int8,MAE,record_eye(DRTiD),0.0007272727272727098,0.0008747272727272726,-0.0407272727272727,0.04291818181818174,False,5,,,,
RQ2,primary,qat_int8_vs_ptq_int8,SevereErrorRate,record_eye(DRTiD),0.009818181818181792,0.009928654545454546,-0.010181818181818176,0.031272727272727265,False,5,,,,
RQ2_control,supplementary,qat_int8_vs_fp32_ft_control,QWK,record_eye(DRTiD),-0.02683310837065247,-0.026871866868928226,-0.060354773455383384,0.0026020198236565376,False,5,0.0023997600239976003,10000.0,0.007199280071992801,True
RQ2_control,supplementary,qat_int8_vs_fp32_ft_control,Accuracy,record_eye(DRTiD),-0.00436363636363637,-0.004544836363636364,-0.029454545454545445,0.019272727272727264,False,5,,,,
RQ2_control,supplementary,qat_int8_vs_fp32_ft_control,MacroF1,record_eye(DRTiD),-0.01069518620961223,-0.011000336763078364,-0.04560475442069273,0.02260957328962723,False,5,,,,
RQ2_control,supplementary,qat_int8_vs_fp32_ft_control,MAE,record_eye(DRTiD),0.01745454545454548,0.017711745454545454,-0.016727272727272702,0.05454545454545447,False,5,,,,
RQ2_control,supplementary,qat_int8_vs_fp32_ft_control,SevereErrorRate,record_eye(DRTiD),0.007636363636363613,0.0077497090909090915,-0.009454545454545448,0.025454545454545462,False,5,,,,
RQ2_control,supplementary,qat_int8_vs_ft_ptq_int8,QWK,record_eye(DRTiD),-0.01555994414304913,-0.01563427158691485,-0.04657122692976618,0.013089807260360522,False,5,0.12988701129887012,10000.0,0.25977402259774024,False
RQ2_control,supplementary,qat_int8_vs_ft_ptq_int8,Accuracy,record_eye(DRTiD),0.009818181818181837,0.009674581818181817,-0.013454545454545474,0.03236363636363635,False,5,,,,
RQ2_control,supplementary,qat_int8_vs_ft_ptq_int8,MacroF1,record_eye(DRTiD),-0.003962012170902274,-0.0041115332159914475,-0.03674436477643391,0.028272871260031824,False,5,,,,
RQ2_control,supplementary,qat_int8_vs_ft_ptq_int8,MAE,record_eye(DRTiD),0.0007272727272727098,0.0009509818181818177,-0.0367272727272727,0.0396363636363636,False,5,,,,
RQ2_control,supplementary,qat_int8_vs_ft_ptq_int8,SevereErrorRate,record_eye(DRTiD),0.006181818181818161,0.006275563636363637,-0.012736363636363653,0.025099999999999893,False,5,,,,
RQ2_control,supplementary,fp32_ft_control_vs_best_fp32,QWK,record_eye(DRTiD),-0.0024403713307070917,-0.002586182515862259,-0.023226904887555973,0.017647817018511033,False,5,0.7005299470052995,10000.0,0.7005299470052995,False
RQ2_control,supplementary,fp32_ft_control_vs_best_fp32,Accuracy,record_eye(DRTiD),0.0025454545454545396,0.0026732727272727273,-0.019272727272727285,0.024009090909090796,False,5,,,,
RQ2_control,supplementary,fp32_ft_control_vs_best_fp32,MacroF1,record_eye(DRTiD),0.0032491936720746573,0.003412669176644767,-0.02353668287022783,0.03132135212705909,False,5,,,,
RQ2_control,supplementary,fp32_ft_control_vs_best_fp32,MAE,record_eye(DRTiD),-0.0010909090909091423,-0.001184218181818182,-0.029090909090909077,0.026909090909090928,False,5,,,,
RQ2_control,supplementary,fp32_ft_control_vs_best_fp32,SevereErrorRate,record_eye(DRTiD),0.000363636363636366,0.00035887272727272716,-0.014181818181818174,0.01454545454545455,False,5,,,,
