condition,seed,quantization,view_mode,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb,QWK_dual,QWK_aux_macula,QWK_aux_disc,DualViewGain_G_aux,ParamCount,CheckpointSize_MB,Latency_median_ms,Latency_mean_ms,Latency_sd_ms,Latency_p95_ms,Latency_p99_ms,Latency_block_IQR_ms,Throughput_pairs_per_s,Throughput_images_per_s,bench_runs,bench_repeats,ShiftL1,ShiftMAE,CosAgree,BenefitCorr,BenefitCorrSpearman,CF_ShiftL1,CF_ShiftMAE,CF_CosAgree,CF_BenefitCorr,CF_BenefitCorrSpearman,ModelLoadRSSDelta_MB,InferenceRSSDelta_MB,PeakRSS_during_inference_MB,RSS_scope,DualViewGain_G_independent
abl_csd_kl_softmax,123,FP32,dual,0.5251930895371076,0.5236363636363637,0.3630542288948573,0.37671159339794197,0.3630542288948573,0.3564823286179347,0.46774418110625005,0.5236363636363637,0.4752045644500625,0.7818181818181819,0.2581818181818182,0.6047745358090185,0.8603773584905661,0.7102803738317757,265,0.47719298245614034,0.0,0.0,0.0,50,0.938,0.3561643835616438,0.1780821917808219,0.2374429223744292,146,0.8836633663366337,0.5416666666666666,0.37681159420289856,0.4444444444444444,69,0.9542619542619543,0.38095238095238093,0.4,0.3902439024390244,20,0.9754716981132076,0.0,0.13147105276584625,0.03424221996302632,0.4040187895298004,0.37161654233932495,0.19153808057308197,0.09096080809831619,0.5251930895371076,0.46516368869168967,0.46966827837942704,0.0555248111576806,328588,1.2948188781738281,14.956981499381072,14.926557960003993,0.4790362087949392,15.766447051191788,16.346954409327736,0.28165499952592654,66.85840990318671,133.71681980637342,500,5,0.4696236848831177,0.11740592122077942,0.2864156663417816,0.11291322857141495,0.25998937937886496,0.32404443621635437,0.08101110905408859,0.45281198620796204,0.2778451144695282,0.23469059101322348,,,,,0.044090682309707474
abl_csd_kl_softmax,2026,FP32,dual,0.5248836977762507,0.48545454545454547,0.35438404111461974,0.32158881383652027,0.35438404111461974,0.327290373856571,0.4411766368188386,0.48545454545454547,0.45555511223247463,0.8454545454545455,0.28545454545454546,0.6207951070336392,0.7660377358490567,0.6858108108108109,265,0.5649122807017544,0.09523809523809523,0.04,0.056338028169014086,50,0.962,0.3173076923076923,0.22602739726027396,0.264,146,0.8242574257425742,0.31746031746031744,0.2898550724637681,0.30303030303030304,69,0.9106029106029107,0.2571428571428571,0.45,0.32727272727272727,20,0.9509433962264151,0.0,0.1442859023809433,0.06688369720496916,0.3710483908653259,0.3439880907535553,0.1949457973241806,0.1086234599351883,0.5248836977762507,0.47557380398719584,0.5032095531026394,0.021674144673611284,328588,1.2949132919311523,14.984641500632279,15.059606485183759,0.4769266801227097,15.87436169875218,16.525455349074036,0.08242349940701388,66.73499662689994,133.46999325379988,500,5,0.4600181579589844,0.1150045394897461,0.3239918649196625,0.29813453555107117,0.39995639955534035,0.6059276461601257,0.15148191154003143,-0.00358721986413002,0.2678716778755188,0.08419584858131762,,,,,0.07299921151737332
abl_csd_counterfactual,42,FP32,dual,0.5370202846439665,0.5072727272727273,0.3961435190908035,0.3623058745075475,0.3961435190908035,0.36420874063550823,0.49127485872018134,0.5072727272727273,0.4859509906050746,0.8181818181818182,0.26545454545454544,0.643312101910828,0.7622641509433963,0.697754749568221,265,0.6070175438596491,0.11904761904761904,0.1,0.10869565217391304,50,0.926,0.43243243243243246,0.2191780821917808,0.2909090909090909,146,0.8960396039603961,0.37349397590361444,0.4492753623188406,0.40789473684210525,69,0.8918918918918919,0.24324324324324326,0.45,0.3157894736842105,20,0.9471698113207547,0.0,0.13963662087917328,0.06231974342118272,0.3916352689266205,0.3748539984226227,0.2260817140340805,0.12402694672346115,0.5370202846439665,0.4977643428427483,0.486394180222421,0.039255941801218164,328588,1.2951021194458008,14.992581999649701,15.104223785981594,0.5174652194161903,16.040987149881403,16.898402770093522,0.07313599962799344,66.69965186939547,133.39930373879093,500,5,0.4763408899307251,0.11908522248268127,0.3045344948768616,0.09870098531246185,0.24220039795773932,0.26687899231910706,0.06671974807977676,0.5015915632247925,0.44527673721313477,0.36215802366288813,,,,,0.08640671480449458
abl_csd_counterfactual,123,FP32,dual,0.575140220520105,0.509090909090909,0.3825754398582565,0.3525743325824715,0.3825754398582565,0.351018999601731,0.47663510057413283,0.509090909090909,0.48169727796928596,0.7745454545454545,0.24909090909090909,0.6393939393939394,0.7962264150943397,0.7092436974789916,265,0.5824561403508772,0.07894736842105263,0.06,0.06818181818181818,50,0.93,0.3917525773195876,0.2602739726027397,0.31275720164609055,146,0.8539603960396039,0.37777777777777777,0.2463768115942029,0.2982456140350877,69,0.9417879417879418,0.275,0.55,0.36666666666666664,20,0.9452830188679245,0.0,0.1309715062379837,0.029417226874184885,0.3860507011413574,0.36003515124320984,0.19776025414466858,0.10781765729188919,0.575140220520105,0.4808951819784332,0.48417466819670807,0.09096555232339698,328588,1.295196533203125,15.007729500212008,15.05760214720649,0.5239687644323044,16.03096465159979,16.837251959459532,0.23754950052534696,66.63233102554743,133.26466205109486,500,5,0.4336531460285187,0.10841328650712967,0.3846363127231598,0.2504628300666809,0.3805504871691537,0.2628081440925598,0.06570203602313995,0.5034662485122681,0.47344380617141724,0.44924884800520754,,,,,0.09403781329270489
abl_csd_counterfactual,2026,FP32,dual,0.5258573599372312,0.5072727272727273,0.3828306606582984,0.3587596704221762,0.3828306606582984,0.35667564929169965,0.4627859315490706,0.5072727272727273,0.46890846672103376,0.8109090909090909,0.26,0.6171428571428571,0.8150943396226416,0.7024390243902439,265,0.5298245614035088,0.10526315789473684,0.08,0.09090909090909091,50,0.932,0.352112676056338,0.17123287671232876,0.2304147465437788,146,0.8861386138613861,0.4067796610169492,0.34782608695652173,0.375,69,0.9272349272349273,0.3125,0.5,0.38461538461538464,20,0.9584905660377359,0.0,0.1347704976797104,0.034073776240375914,0.3936467170715332,0.36511239409446716,0.20432347059249878,0.10560633987188339,0.5258573599372312,0.4625184048401967,0.4861736153611599,0.03968374457607127,328588,1.2952909469604492,14.909886500390712,14.971361456406157,0.5260406527261046,15.891235900016909,16.825475540572366,0.03557400032150326,67.06959170841408,134.13918341682816,500,5,0.4685524106025696,0.1171381026506424,0.25035762786865234,0.22267454862594604,0.29793099841952897,0.28675377368927,0.0716884434223175,0.45620784163475037,0.35835009813308716,0.3198650874578398,,,,,0.07397287367835381
best_fp32,42,FP32,dual,0.5836665176227432,0.5145454545454545,0.38245304744887837,0.3503175205011797,0.38245304744887837,0.34412393030288685,0.48830223089523256,0.5145454545454545,0.4881386761131866,0.7890909090909091,0.26545454545454544,0.6443768996960486,0.8,0.7138047138047138,265,0.5894736842105263,0.07142857142857142,0.04,0.05128205128205128,50,0.948,0.4157303370786517,0.2534246575342466,0.3148936170212766,146,0.8712871287128713,0.43137254901960786,0.3188405797101449,0.36666666666666664,69,0.9397089397089398,0.18867924528301888,0.5,0.273972602739726,20,0.9188679245283019,0.0,0.133689746260643,0.04755554835439067,0.37517067790031433,0.3460063636302948,0.20043759047985077,0.1226748377084732,0.5836665176227432,0.4933371535044694,0.5429188239115068,0.04074769371123643,328588,1.2933416366577148,14.920216499376693,14.954694731598284,0.4400198719924757,15.740823050145991,16.298493058802702,0.10470549932506401,67.02315613461614,134.0463122692323,500,5,0.45778602361679077,0.11444650590419769,0.2985447645187378,0.178677499294281,0.2952331803350815,0.5755149126052856,0.1438787281513214,-0.06746377795934677,0.26155152916908264,0.06286415973125681,,,,,0.13305294778327137
best_fp32,123,FP32,dual,0.5224328967808973,0.5163636363636364,0.36182511303149145,0.35780894935106533,0.36182511303149145,0.34579450708080667,0.4658395271324171,0.5163636363636364,0.47602763101776396,0.8,0.27090909090909093,0.6218487394957983,0.8377358490566038,0.7138263665594855,265,0.5263157894736842,0.034482758620689655,0.02,0.02531645569620253,50,0.944,0.3473684210526316,0.22602739726027396,0.27385892116182575,146,0.8465346534653465,0.475,0.2753623188405797,0.3486238532110092,69,0.9563409563409564,0.3103448275862069,0.45,0.3673469387755102,20,0.9622641509433962,0.0,0.13475055992603302,0.035786787066185335,0.39570197463035583,0.36670324206352234,0.1948527842760086,0.09684377163648605,0.5224328967808973,0.4721498111400756,0.48202618438377265,0.04040671239712468,328588,1.293436050415039,14.966313498916861,15.032430164372636,0.4792190060994695,15.921357399838596,16.6858595706617,0.094914000328572,66.81672143727123,133.63344287454245,500,5,0.439932256937027,0.10998306423425674,0.39316779375076294,0.23198898136615753,0.38621890560720107,0.49578046798706055,0.12394511699676514,-0.05843106284737587,0.2135390043258667,0.023412645391164326,,,,,0.04133048955349716
best_fp32,2026,FP32,dual,0.557171047623509,0.5,0.38710541240106233,0.3551666447856309,0.38710541240106233,0.35556910658433505,0.47320808563947075,0.5,0.47429802674380434,0.7981818181818182,0.2545454545454545,0.6380368098159509,0.7849056603773585,0.7038917089678511,265,0.5859649122807018,0.14285714285714285,0.14,0.1414141414141414,50,0.916,0.358974358974359,0.1917808219178082,0.25,146,0.8762376237623762,0.38596491228070173,0.3188405797101449,0.3492063492063492,69,0.9272349272349273,0.25,0.5,0.3333333333333333,20,0.9433962264150944,0.0,0.13500164449214935,0.039112718469378624,0.3873654007911682,0.3618890941143036,0.207300066947937,0.11380500346422195,0.557171047623509,0.50753702948631,0.505017106026483,0.04963401813719903,328588,1.2935304641723633,14.897781498802942,14.950792102416745,0.5045588388624465,15.826546500375116,16.523528970010364,0.1366199994663475,67.12408824631717,134.24817649263434,500,5,0.4414820373058319,0.11037050932645798,0.41862067580223083,0.2818111777305603,0.45905393526469956,0.6205405592918396,0.1551351398229599,-0.08412188291549683,0.2889188230037689,0.06209687845699866,,,,,0.10528656136463166
best_fp32,3407,FP32,dual,0.5808425250412725,0.5236363636363637,0.3967248249744345,0.36448258092965413,0.3967248249744345,0.3689806111441188,0.5003049476519408,0.5236363636363637,0.506366663101893,0.7563636363636363,0.2381818181818182,0.673202614379085,0.7773584905660378,0.7215411558669002,265,0.6491228070175439,0.12121212121212122,0.08,0.0963855421686747,50,0.942,0.415929203539823,0.3219178082191781,0.36293436293436293,146,0.8366336633663366,0.3620689655172414,0.30434782608695654,0.33070866141732286,69,0.9230769230769231,0.25,0.5,0.3333333333333333,20,0.9433962264150944,0.0,0.13235707581043243,0.04403542427176779,0.36135679483413696,0.336140513420105,0.20884501934051514,0.11471518874168396,0.5808425250412725,0.5137183977378692,0.47717156108454883,0.06712412730340334,328588,1.2935304641723633,14.915977500095323,15.07577637919312,0.5051156261166906,15.937336848583072,16.639770480451254,0.13575050070357975,67.04220356953537,134.08440713907075,500,5,0.461432546377182,0.1153581365942955,0.28027981519699097,0.2085040807723999,0.30139364547861763,0.5788249969482422,0.14470624923706055,-0.07603500038385391,0.253335177898407,0.03250122840376031,,,,,0.1153286346720539
best_fp32,8888,FP32,dual,0.5288353924167566,0.48363636363636364,0.34549958233599665,0.3088052226175956,0.34549958233599665,0.31805106070827477,0.4446234170887618,0.48363636363636364,0.45919997489087233,0.8327272727272728,0.2690909090909091,0.6421725239616614,0.7584905660377359,0.6955017301038062,265,0.6070175438596491,0.04,0.02,0.02666666666666667,50,0.952,0.32231404958677684,0.2671232876712329,0.29213483146067415,146,0.7970297029702971,0.2962962962962963,0.2318840579710145,0.2601626016260163,69,0.920997920997921,0.24324324324324326,0.45,0.3157894736842105,20,0.9471698113207547,0.0,0.1449119597673416,0.050141839528964324,0.38223162293434143,0.35980552434921265,0.2099805772304535,0.11115892231464386,0.5288353924167566,0.4816842466751722,0.4693796363466174,0.04715114574158441,328588,1.2935304641723633,15.151804999732121,15.184460169204248,0.45954529286357787,16.017472148541856,16.57346389098165,0.03917199956049444,65.99873744531953,131.99747489063907,500,5,0.4614121615886688,0.1153530403971672,0.3431956470012665,0.17959365248680115,0.3304510157659424,0.4885029196739197,0.12212572991847992,0.07349341362714767,0.21507148444652557,0.08387012549102339,0.0,0.015625,3359.6171875,"process-level, includes the notebook",0.05523325602698237
fp32_ft_control,42,FP32,dual,0.5685666094127058,0.5327272727272727,0.3978863654241631,0.38421639631150295,0.3978863654241631,0.3639184208746061,0.4942244947285332,0.5327272727272727,0.4926423248138101,0.7709090909090909,0.26,0.6284916201117319,0.8490566037735849,0.7223113964686998,265,0.5333333333333333,0.12,0.06,0.08,50,0.956,0.39759036144578314,0.22602739726027396,0.28820960698689957,146,0.8762376237623762,0.525,0.30434782608695654,0.3853211009174312,69,0.9604989604989606,0.25,0.55,0.34375,20,0.9377358490566038,0.0,0.13186630606651306,0.04399838843890889,0.3754216730594635,0.34221169352531433,0.17909575998783112,0.10628388822078705,0.5685666094127058,0.48664552746935974,0.5093318983828485,0.05923471102985722,328588,1.3801984786987305,28.495632000158366,28.518652481626486,0.6649495602213458,29.673265349993017,30.551213660983187,0.22857700059830677,35.09309777703623,70.18619555407246,500,5,,,,,,,,,,,,,,,0.11795303957323389
fp32_ft_control,123,FP32,dual,0.5406515766572868,0.4909090909090909,0.3559225579766333,0.3247482595658932,0.3559225579766333,0.32954220512386523,0.4564894597058564,0.4909090909090909,0.4667462888673464,0.8236363636363636,0.2690909090909091,0.6394984326018809,0.769811320754717,0.6986301369863014,265,0.5964912280701754,0.0967741935483871,0.06,0.07407407407407407,50,0.944,0.3523809523809524,0.2534246575342466,0.2948207171314741,146,0.8316831683168316,0.2982456140350877,0.2463768115942029,0.2698412698412698,69,0.9168399168399168,0.23684210526315788,0.45,0.3103448275862069,20,0.9452830188679245,0.0,0.13726922869682312,0.04039447685534303,0.3857448697090149,0.36359333992004395,0.21217206120491028,0.11400070041418076,0.5406515766572868,0.46744295738504726,0.5202767117260261,0.020374864931260728,328588,1.3804731369018555,28.241916499609943,28.53916289440458,0.8738757071425894,30.015543149875157,31.17945902973588,0.3398855005798396,35.40836189405954,70.81672378811908,500,5,,,,,,,,,,,,,,,0.05954916942988664
fp32_ft_control,2026,FP32,dual,0.563207078335266,0.4909090909090909,0.3677796232408479,0.33224231480519506,0.3677796232408479,0.335793644767757,0.4585391715907555,0.4909090909090909,0.4634939606894101,0.8018181818181818,0.2509090909090909,0.636085626911315,0.7849056603773585,0.7027027027027027,265,0.5824561403508772,0.09302325581395349,0.08,0.08602150537634409,50,0.922,0.35365853658536583,0.19863013698630136,0.2543859649122807,146,0.8688118811881188,0.3220338983050847,0.2753623188405797,0.296875,69,0.9168399168399168,0.2564102564102564,0.5,0.3389830508474576,20,0.9452830188679245,0.0,0.13429154455661774,0.038901384361088275,0.3826861083507538,0.3556654453277588,0.20401713252067566,0.11180656403303146,0.563207078335266,0.5070241144298139,0.5193342102286213,0.0438728681066447,328588,1.3807477951049805,28.30807000009372,28.42274323600359,0.711273887044984,29.600121601015417,30.586047039505498,0.1566005003041937,35.325615628218,70.651231256436,500,5,,,,,,,,,,,,,,,0.11132259207638862
fp32_ft_control,3407,FP32,dual,0.5695875324593507,0.5381818181818182,0.3987549342413311,0.37990270225824235,0.3987549342413311,0.3735303691060716,0.49866867463217057,0.5381818181818182,0.5042446980803058,0.7509090909090909,0.24363636363636362,0.6482558139534884,0.8415094339622642,0.7323481116584565,265,0.5754385964912281,0.13793103448275862,0.08,0.10126582278481013,50,0.95,0.42045454545454547,0.2534246575342466,0.3162393162393162,146,0.8737623762376238,0.41509433962264153,0.3188405797101449,0.36065573770491804,69,0.9355509355509356,0.2777777777777778,0.5,0.35714285714285715,20,0.9509433962264151,0.0,0.13173118233680725,0.0328187244893475,0.35844510793685913,0.3269652724266052,0.18562665581703186,0.10218165814876556,0.5695875324593507,0.5159952197058736,0.4820302888436455,0.05359231275347709,328588,1.3807477951049805,28.49249900009454,28.607718951998685,0.6484312414137168,29.73698554933435,30.594568439846626,0.21749799907411216,35.096956570804196,70.19391314160839,500,5,,,,,,,,,,,,,,,0.10407364209013203
