condition,seed,quantization,subset,field_order,role,eyes,patients,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,ExactAccuracy,AdjacentErrorRate,AdjacentAccuracy,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb
qat_int8,42,QAT_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6159600997506234,0.585,0.39688888888888885,0.4199893270419054,0.39688888888888885,0.3798692896946172,0.5611568924839906,0.585,0.5516008336641525,0.71,0.195,0.585,0.22,0.805,0.689922480620155,0.89,0.777292576419214,100,0.6,0.16666666666666666,0.05555555555555555,0.08333333333333333,18,0.9725274725274725,0.625,0.4166666666666667,0.5,36,0.9451219512195121,0.4444444444444444,0.2222222222222222,0.2962962962962963,36,0.9390243902439024,0.17391304347826086,0.4,0.24242424242424243,10,0.9,0.0,0.12676039338111877,0.045252068401314315,0.30506715178489685,0.2704360783100128,0.19418546557426453,0.14669747650623322
qat_int8,123,QAT_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6324073617210244,0.515,0.34244444444444444,0.3318392372565821,0.34244444444444444,0.31502774113893883,0.48695792001534854,0.515,0.4862810934623859,0.76,0.2,0.515,0.285,0.8,0.6942148760330579,0.84,0.7601809954751131,100,0.63,0.15384615384615385,0.1111111111111111,0.12903225806451613,18,0.9395604395604396,0.30434782608695654,0.19444444444444445,0.23728813559322035,36,0.9024390243902439,0.35294117647058826,0.16666666666666666,0.22641509433962265,36,0.9329268292682927,0.15384615384615385,0.4,0.2222222222222222,10,0.8842105263157894,0.0,0.1309102475643158,0.04743630928918719,0.33435875177383423,0.2978813946247101,0.19142642617225647,0.15261244773864746
qat_int8,2026,QAT_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.5914702581369249,0.42,0.34555555555555556,0.30132139812446723,0.34555555555555556,0.2938226179026199,0.5086892583120205,0.42,0.44778312658758535,0.92,0.25,0.42,0.33,0.75,0.8333333333333334,0.6,0.6976744186046512,100,0.88,0.08333333333333333,0.05555555555555555,0.06666666666666667,18,0.9395604395604396,0.21739130434782608,0.2777777777777778,0.24390243902439024,36,0.7804878048780488,0.20588235294117646,0.19444444444444445,0.2,36,0.8353658536585366,0.16666666666666666,0.6,0.2608695652173913,10,0.8421052631578947,0.0,0.15790018439292908,0.15906488180160522,0.3516174554824829,0.3399601876735687,0.27512550354003906,0.21287916600704193
qat_int8,3407,QAT_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6606362761310067,0.56,0.4017777777777778,0.4136284414510222,0.4017777777777778,0.37499349594001546,0.5510124955689473,0.56,0.5325351089676217,0.695,0.19,0.56,0.25,0.81,0.7016129032258065,0.87,0.7767857142857143,100,0.63,0.23076923076923078,0.16666666666666666,0.1935483870967742,18,0.945054945054945,0.38095238095238093,0.2222222222222222,0.2807017543859649,36,0.9207317073170732,0.5625,0.25,0.34615384615384615,36,0.9573170731707317,0.19230769230769232,0.5,0.2777777777777778,10,0.8894736842105263,0.0,0.12122093886137009,0.04384091938845814,0.3015519380569458,0.26958605647087097,0.17510370910167694,0.14925828576087952
qat_int8,8888,QAT_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6716459325717985,0.545,0.4188888888888889,0.4092712723718771,0.4188888888888889,0.3731932511479358,0.5546553051126993,0.545,0.5327623757476789,0.72,0.195,0.545,0.26,0.805,0.7476635514018691,0.8,0.7729468599033816,100,0.73,0.3333333333333333,0.1111111111111111,0.16666666666666666,18,0.978021978021978,0.4,0.3888888888888889,0.39436619718309857,36,0.8719512195121951,0.3888888888888889,0.19444444444444445,0.25925925925925924,36,0.9329268292682927,0.17647058823529413,0.6,0.2727272727272727,10,0.8526315789473684,0.0,0.13025937974452972,0.07917203363496811,0.32177403569221497,0.2843538224697113,0.20435471832752228,0.17926105856895447
teacher,-,FP32,setC,_1=disc,supplementary,200,100,0.7793712079426365,0.64,0.45999999999999996,0.4298260794323786,0.45999999999999996,0.42390811131310857,0.5890706930864411,0.64,0.5990361292282664,0.51,0.12,0.64,0.24,0.88,0.7480314960629921,0.95,0.8370044052863436,100,0.68,0.0,0.0,0.0,18,0.978021978021978,0.6153846153846154,0.4444444444444444,0.5161290322580645,36,0.9390243902439024,0.5,0.3055555555555556,0.3793103448275862,36,0.9329268292682927,0.2857142857142857,0.6,0.3870967741935484,10,0.9210526315789473,0.0,0.09173117578029633,0.029896573331207037,0.22974304854869843,0.1807662546634674,0.155120387673378,0.12504495680332184
best_fp32,42,FP32,setC,_1=disc,supplementary,200,100,0.6565741519484161,0.515,0.3837777777777778,0.34576675354976605,0.3837777777777778,0.34427962262412404,0.5362299506030829,0.515,0.5192554658585403,0.74,0.17,0.515,0.315,0.83,0.8210526315789474,0.78,0.8,100,0.83,0.2,0.16666666666666666,0.18181818181818182,18,0.9340659340659341,0.38235294117647056,0.3611111111111111,0.37142857142857144,36,0.8719512195121951,0.17391304347826086,0.1111111111111111,0.13559322033898305,36,0.8841463414634146,0.15151515151515152,0.5,0.23255813953488372,10,0.8526315789473684,0.0,0.1337582916021347,0.08766072914935649,0.295414000749588,0.28070101141929626,0.23997291922569275,0.19046199321746826
best_fp32,123,FP32,setC,_1=disc,supplementary,200,100,0.6520763187429854,0.52,0.3637777777777778,0.3474567966154361,0.3637777777777778,0.34177054757053893,0.5168154783246091,0.52,0.5121646778092225,0.735,0.195,0.52,0.285,0.805,0.7289719626168224,0.78,0.7536231884057971,100,0.71,0.08333333333333333,0.05555555555555555,0.06666666666666667,18,0.9395604395604396,0.3235294117647059,0.3055555555555556,0.3142857142857143,36,0.8597560975609756,0.43478260869565216,0.2777777777777778,0.3389830508474576,36,0.9207317073170732,0.16666666666666666,0.4,0.23529411764705882,10,0.8947368421052632,0.0,0.12702596187591553,0.05853507782332598,0.33041152358055115,0.3013319969177246,0.20383471250534058,0.15752382576465607
best_fp32,2026,FP32,setC,_1=disc,supplementary,200,100,0.6378479203507668,0.5,0.34911111111111104,0.3254170026339837,0.34911111111111104,0.32278682051766316,0.495231609149062,0.5,0.4919545706204957,0.765,0.18,0.5,0.32,0.82,0.7452830188679245,0.79,0.7669902912621359,100,0.73,0.1875,0.16666666666666666,0.17647058823529413,18,0.9285714285714286,0.34615384615384615,0.25,0.2903225806451613,36,0.8963414634146342,0.2,0.1388888888888889,0.16393442622950818,36,0.8780487804878049,0.14814814814814814,0.4,0.21621621621621623,10,0.8789473684210526,0.0,0.13322730362415314,0.07927433860488235,0.32588741183280945,0.2981923222541809,0.22858113050460815,0.17667646706104279
best_fp32,3407,FP32,setC,_1=disc,supplementary,200,100,0.7388166017665495,0.59,0.40422222222222226,0.3769080955890094,0.40422222222222226,0.36740066618108014,0.5627826613327719,0.59,0.563606036549935,0.6,0.145,0.59,0.265,0.855,0.7711864406779662,0.91,0.8348623853211009,100,0.73,0.0,0.0,0.0,18,0.9615384615384616,0.5,0.3333333333333333,0.4,36,0.926829268292683,0.43478260869565216,0.2777777777777778,0.3389830508474576,36,0.9207317073170732,0.17857142857142858,0.5,0.2631578947368421,10,0.8789473684210526,0.0,0.10938626527786255,0.03802686706185341,0.2574669122695923,0.2378770262002945,0.175750732421875,0.1710076928138733
best_fp32,8888,FP32,setC,_1=disc,supplementary,200,100,0.6871881009761678,0.6,0.41533333333333333,0.41406080316742083,0.41533333333333333,0.38346944792644566,0.5751547228506787,0.6,0.564449988513918,0.635,0.17,0.6,0.23,0.83,0.7109375,0.91,0.7982456140350878,100,0.63,0.0,0.0,0.0,18,0.978021978021978,0.52,0.3611111111111111,0.4262295081967213,36,0.926829268292683,0.6470588235294118,0.3055555555555556,0.41509433962264153,36,0.9634146341463414,0.19230769230769232,0.5,0.2777777777777778,10,0.8894736842105263,0.0,0.11494345963001251,0.031899614967405794,0.29143908619880676,0.24723964929580688,0.16604702174663544,0.15284463763237
csd_fp32,42,FP32,setC,_1=disc,supplementary,200,100,0.6565741519484161,0.515,0.3837777777777778,0.34576675354976605,0.3837777777777778,0.34427962262412404,0.5362299506030829,0.515,0.5192554658585403,0.74,0.17,0.515,0.315,0.83,0.8210526315789474,0.78,0.8,100,0.83,0.2,0.16666666666666666,0.18181818181818182,18,0.9340659340659341,0.38235294117647056,0.3611111111111111,0.37142857142857144,36,0.8719512195121951,0.17391304347826086,0.1111111111111111,0.13559322033898305,36,0.8841463414634146,0.15151515151515152,0.5,0.23255813953488372,10,0.8526315789473684,0.0,0.1337582916021347,0.08766072914935649,0.295414000749588,0.28070101141929626,0.23997291922569275,0.19046199321746826
csd_fp32,123,FP32,setC,_1=disc,supplementary,200,100,0.6520763187429854,0.52,0.3637777777777778,0.3474567966154361,0.3637777777777778,0.34177054757053893,0.5168154783246091,0.52,0.5121646778092225,0.735,0.195,0.52,0.285,0.805,0.7289719626168224,0.78,0.7536231884057971,100,0.71,0.08333333333333333,0.05555555555555555,0.06666666666666667,18,0.9395604395604396,0.3235294117647059,0.3055555555555556,0.3142857142857143,36,0.8597560975609756,0.43478260869565216,0.2777777777777778,0.3389830508474576,36,0.9207317073170732,0.16666666666666666,0.4,0.23529411764705882,10,0.8947368421052632,0.0,0.12702596187591553,0.05853507782332598,0.33041152358055115,0.3013319969177246,0.20383471250534058,0.15752382576465607
csd_fp32,2026,FP32,setC,_1=disc,supplementary,200,100,0.6378479203507668,0.5,0.34911111111111104,0.3254170026339837,0.34911111111111104,0.32278682051766316,0.495231609149062,0.5,0.4919545706204957,0.765,0.18,0.5,0.32,0.82,0.7452830188679245,0.79,0.7669902912621359,100,0.73,0.1875,0.16666666666666666,0.17647058823529413,18,0.9285714285714286,0.34615384615384615,0.25,0.2903225806451613,36,0.8963414634146342,0.2,0.1388888888888889,0.16393442622950818,36,0.8780487804878049,0.14814814814814814,0.4,0.21621621621621623,10,0.8789473684210526,0.0,0.13322730362415314,0.07927433860488235,0.32588741183280945,0.2981923222541809,0.22858113050460815,0.17667646706104279
csd_fp32,3407,FP32,setC,_1=disc,supplementary,200,100,0.7388166017665495,0.59,0.40422222222222226,0.3769080955890094,0.40422222222222226,0.36740066618108014,0.5627826613327719,0.59,0.563606036549935,0.6,0.145,0.59,0.265,0.855,0.7711864406779662,0.91,0.8348623853211009,100,0.73,0.0,0.0,0.0,18,0.9615384615384616,0.5,0.3333333333333333,0.4,36,0.926829268292683,0.43478260869565216,0.2777777777777778,0.3389830508474576,36,0.9207317073170732,0.17857142857142858,0.5,0.2631578947368421,10,0.8789473684210526,0.0,0.10938626527786255,0.03802686706185341,0.2574669122695923,0.2378770262002945,0.175750732421875,0.1710076928138733
csd_fp32,8888,FP32,setC,_1=disc,supplementary,200,100,0.6871881009761678,0.6,0.41533333333333333,0.41406080316742083,0.41533333333333333,0.38346944792644566,0.5751547228506787,0.6,0.564449988513918,0.635,0.17,0.6,0.23,0.83,0.7109375,0.91,0.7982456140350878,100,0.63,0.0,0.0,0.0,18,0.978021978021978,0.52,0.3611111111111111,0.4262295081967213,36,0.926829268292683,0.6470588235294118,0.3055555555555556,0.41509433962264153,36,0.9634146341463414,0.19230769230769232,0.5,0.2777777777777778,10,0.8894736842105263,0.0,0.11494345963001251,0.031899614967405794,0.29143908619880676,0.24723964929580688,0.16604702174663544,0.15284463763237
