condition,seed,quantization,subset,n_patients,metric,point,ci_low,ci_high
ft_ptq_int8,3407,FT_PTQ_INT8,setC,100,MAE,0.645,0.51,0.785
ft_ptq_int8,3407,FT_PTQ_INT8,setC,100,SevereErrorRate,0.185,0.13,0.245
ft_ptq_int8,8888,FT_PTQ_INT8,setC,100,QWK,0.6679192519444201,0.559949941059048,0.7545257818003617
ft_ptq_int8,8888,FT_PTQ_INT8,setC,100,Accuracy,0.48,0.405,0.555
ft_ptq_int8,8888,FT_PTQ_INT8,setC,100,MacroF1,0.3107019406752606,0.2508758636040314,0.366446718423138
ft_ptq_int8,8888,FT_PTQ_INT8,setC,100,MAE,0.79,0.655,0.935
ft_ptq_int8,8888,FT_PTQ_INT8,setC,100,SevereErrorRate,0.19,0.135,0.25
qat_int8,42,QAT_INT8,setC,100,QWK,0.6159600997506234,0.49249524465768346,0.7234153765334908
qat_int8,42,QAT_INT8,setC,100,Accuracy,0.585,0.51,0.66
qat_int8,42,QAT_INT8,setC,100,MacroF1,0.3798692896946172,0.30272655584904307,0.45210593988719927
qat_int8,42,QAT_INT8,setC,100,MAE,0.71,0.56,0.86
qat_int8,42,QAT_INT8,setC,100,SevereErrorRate,0.195,0.14,0.255
qat_int8,123,QAT_INT8,setC,100,QWK,0.6324073617210244,0.5056913536578942,0.7357058972283754
qat_int8,123,QAT_INT8,setC,100,Accuracy,0.515,0.435,0.595
qat_int8,123,QAT_INT8,setC,100,MacroF1,0.31502774113893883,0.24447506993320653,0.37829588898112004
qat_int8,123,QAT_INT8,setC,100,MAE,0.76,0.61,0.9101249999999982
qat_int8,123,QAT_INT8,setC,100,SevereErrorRate,0.2,0.14,0.26
qat_int8,2026,QAT_INT8,setC,100,QWK,0.5914702581369249,0.4750158885594316,0.6868404220038027
qat_int8,2026,QAT_INT8,setC,100,Accuracy,0.42,0.345,0.5
qat_int8,2026,QAT_INT8,setC,100,MacroF1,0.2938226179026199,0.2290107414220871,0.3574824704947126
qat_int8,2026,QAT_INT8,setC,100,MAE,0.92,0.775,1.07
qat_int8,2026,QAT_INT8,setC,100,SevereErrorRate,0.25,0.185,0.315
qat_int8,3407,QAT_INT8,setC,100,QWK,0.6606362761310067,0.5468770303450117,0.7568501715338881
qat_int8,3407,QAT_INT8,setC,100,Accuracy,0.56,0.485,0.64
qat_int8,3407,QAT_INT8,setC,100,MacroF1,0.37499349594001546,0.2938175023562728,0.4513924824478709
qat_int8,3407,QAT_INT8,setC,100,MAE,0.695,0.55,0.84
qat_int8,3407,QAT_INT8,setC,100,SevereErrorRate,0.19,0.13,0.255
qat_int8,8888,QAT_INT8,setC,100,QWK,0.6716459325717985,0.563067295118181,0.7587889360429929
qat_int8,8888,QAT_INT8,setC,100,Accuracy,0.545,0.47,0.62
qat_int8,8888,QAT_INT8,setC,100,MacroF1,0.3731932511479358,0.29590569899849173,0.447261999725346
qat_int8,8888,QAT_INT8,setC,100,MAE,0.72,0.585,0.86
qat_int8,8888,QAT_INT8,setC,100,SevereErrorRate,0.195,0.14,0.255
