check,reported,recomputed,abs_diff,match
ext_supp_QWK::setA__1disc::qat_int8::seed3407,0.64548098,0.64548098,0.0,True
ext_supp_QWK::setA__1disc::qat_int8::seed42,0.66192663,0.66192663,0.0,True
ext_supp_QWK::setA__1disc::qat_int8::seed8888,0.67340286,0.67340286,0.0,True
ext_supp_QWK::setA__1disc::teacher::seed-,0.75156894,0.75156894,0.0,True
ext_supp_QWK::setA__1macula::best_fp32::seed123,0.65119947,0.65119947,0.0,True
ext_supp_QWK::setA__1macula::best_fp32::seed2026,0.65491761,0.65491761,0.0,True
ext_supp_QWK::setA__1macula::best_fp32::seed3407,0.70067657,0.70067657,0.0,True
ext_supp_QWK::setA__1macula::best_fp32::seed42,0.64920525,0.64920525,0.0,True
ext_supp_QWK::setA__1macula::best_fp32::seed8888,0.67275414,0.67275414,0.0,True
ext_supp_QWK::setA__1macula::csd_fp32::seed123,0.65119947,0.65119947,0.0,True
ext_supp_QWK::setA__1macula::csd_fp32::seed2026,0.65491761,0.65491761,0.0,True
ext_supp_QWK::setA__1macula::csd_fp32::seed3407,0.70067657,0.70067657,0.0,True
ext_supp_QWK::setA__1macula::csd_fp32::seed42,0.64920525,0.64920525,0.0,True
ext_supp_QWK::setA__1macula::csd_fp32::seed8888,0.67275414,0.67275414,0.0,True
ext_supp_QWK::setA__1macula::fp32_ft_control::seed123,0.64385626,0.64385626,0.0,True
ext_supp_QWK::setA__1macula::fp32_ft_control::seed2026,0.66803648,0.66803648,0.0,True
ext_supp_QWK::setA__1macula::fp32_ft_control::seed3407,0.68017461,0.68017461,0.0,True
ext_supp_QWK::setA__1macula::fp32_ft_control::seed42,0.6740947,0.6740947,0.0,True
ext_supp_QWK::setA__1macula::fp32_ft_control::seed8888,0.68106246,0.68106246,0.0,True
ext_supp_QWK::setA__1macula::ft_ptq_int8::seed123,0.64041426,0.64041426,0.0,True
ext_supp_QWK::setA__1macula::ft_ptq_int8::seed2026,0.67664063,0.67664063,0.0,True
ext_supp_QWK::setA__1macula::ft_ptq_int8::seed3407,0.66021533,0.66021533,0.0,True
ext_supp_QWK::setA__1macula::ft_ptq_int8::seed42,0.66987475,0.66987475,0.0,True
ext_supp_QWK::setA__1macula::ft_ptq_int8::seed8888,0.6631837,0.6631837,0.0,True
ext_supp_QWK::setA__1macula::ptq_int8::seed123,0.62522636,0.62522636,0.0,True
ext_supp_QWK::setA__1macula::ptq_int8::seed2026,0.66454147,0.66454147,0.0,True
ext_supp_QWK::setA__1macula::ptq_int8::seed3407,0.68961805,0.68961805,0.0,True
ext_supp_QWK::setA__1macula::ptq_int8::seed42,0.64386156,0.64386156,0.0,True
ext_supp_QWK::setA__1macula::ptq_int8::seed8888,0.68098629,0.68098629,0.0,True
ext_supp_QWK::setA__1macula::qat_int8::seed123,0.62980954,0.62980954,0.0,True
ext_supp_QWK::setA__1macula::qat_int8::seed2026,0.61880335,0.61880335,0.0,True
ext_supp_QWK::setA__1macula::qat_int8::seed3407,0.64630698,0.64630698,0.0,True
ext_supp_QWK::setA__1macula::qat_int8::seed42,0.66466714,0.66466714,0.0,True
ext_supp_QWK::setA__1macula::qat_int8::seed8888,0.67178083,0.67178083,0.0,True
ext_supp_QWK::setA__1macula::teacher::seed-,0.77033727,0.77033727,0.0,True
ext_supp_QWK::setB__1disc::best_fp32::seed123,0.6833479,0.6833479,0.0,True
ext_supp_QWK::setB__1disc::best_fp32::seed2026,0.6898818,0.6898818,0.0,True
ext_supp_QWK::setB__1disc::best_fp32::seed3407,0.6892024,0.6892024,0.0,True
ext_supp_QWK::setB__1disc::best_fp32::seed42,0.66585167,0.66585167,0.0,True
ext_supp_QWK::setB__1disc::best_fp32::seed8888,0.65545633,0.65545633,0.0,True
ext_supp_QWK::setB__1disc::csd_fp32::seed123,0.6833479,0.6833479,0.0,True
ext_supp_QWK::setB__1disc::csd_fp32::seed2026,0.6898818,0.6898818,0.0,True
ext_supp_QWK::setB__1disc::csd_fp32::seed3407,0.6892024,0.6892024,0.0,True
ext_supp_QWK::setB__1disc::csd_fp32::seed42,0.66585167,0.66585167,0.0,True
ext_supp_QWK::setB__1disc::csd_fp32::seed8888,0.65545633,0.65545633,0.0,True
ext_supp_QWK::setB__1disc::fp32_ft_control::seed123,0.64340355,0.64340355,0.0,True
ext_supp_QWK::setB__1disc::fp32_ft_control::seed2026,0.70958725,0.70958725,0.0,True
ext_supp_QWK::setB__1disc::fp32_ft_control::seed3407,0.67785108,0.67785108,0.0,True
ext_supp_QWK::setB__1disc::fp32_ft_control::seed42,0.69327006,0.69327006,0.0,True
ext_supp_QWK::setB__1disc::fp32_ft_control::seed8888,0.68537031,0.68537031,0.0,True
ext_supp_QWK::setB__1disc::ft_ptq_int8::seed123,0.65040521,0.65040521,0.0,True
ext_supp_QWK::setB__1disc::ft_ptq_int8::seed2026,0.68907985,0.68907985,0.0,True
ext_supp_QWK::setB__1disc::ft_ptq_int8::seed3407,0.67187311,0.67187311,0.0,True
ext_supp_QWK::setB__1disc::ft_ptq_int8::seed42,0.67199276,0.67199276,0.0,True
ext_supp_QWK::setB__1disc::ft_ptq_int8::seed8888,0.65350693,0.65350693,0.0,True
ext_supp_QWK::setB__1disc::ptq_int8::seed123,0.65913605,0.65913605,0.0,True
